Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,Peer_Influence,Physical_Activity,Parental_Education_Level,Distance_from_Home,Exam_Score,Parental_Involvement_label,Access_to_Resources_label,Motivation_Level_label,Family_Income_label,Teacher_Quality_label,Distance_from_Home_label,Parental_Education_Level_label,Peer_Influence_label,Extracurricular_Activities_label,Internet_Access_label,Learning_Disabilities_label,School_Type_label,Gender_label,Extracurricular_Activities_No,Extracurricular_Activities_Yes,Internet_Access_No,Internet_Access_Yes,Learning_Disabilities_No,Learning_Disabilities_Yes,School_Type_Private,School_Type_Public,Gender_Female,Gender_Male
23,84,1,3,7,73,1,0,1,2.0,3,3,1.0,1.0,D,Low,High,Low,Low,Medium,Near,High School,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
19,64,1,2,8,59,1,2,2,2.0,1,4,2.0,2.0,D,Low,Medium,Low,Medium,Medium,Moderate,College,Negative,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
24,98,2,2,7,91,2,2,2,2.0,2,4,3.0,1.0,C,Medium,Medium,Medium,Medium,Medium,Near,Postgraduate,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
29,89,1,2,8,98,2,1,2,2.0,1,4,1.0,2.0,C,Low,Medium,Medium,Medium,Medium,Moderate,High School,Negative,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
19,92,2,2,6,65,2,3,2,3.0,2,4,2.0,1.0,C,Medium,Medium,Medium,Medium,High,Near,College,Neutral,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
19,88,2,2,8,89,2,3,2,2.0,3,3,3.0,1.0,C,Medium,Medium,Medium,Medium,Medium,Near,Postgraduate,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
29,84,2,1,7,68,1,1,1,2.0,2,2,1.0,2.0,D,Medium,Low,Low,Low,Medium,Moderate,High School,Neutral,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
25,78,1,3,6,50,2,1,3,3.0,1,2,1.0,3.0,D,Low,High,Medium,High,High,Far,High School,Negative,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
17,94,2,3,6,80,3,0,2,1.0,2,1,2.0,1.0,D,Medium,High,High,Medium,Low,Near,College,Neutral,No,Yes,No,Private,Male,True,False,False,True,True,False,True,False,False,True
23,98,2,2,8,71,2,0,3,3.0,3,5,1.0,2.0,C,Medium,Medium,Medium,High,High,Moderate,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
17,97,2,3,6,87,1,2,1,3.0,2,2,1.0,1.0,C,Medium,High,Low,Low,High,Near,High School,Neutral,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
21,83,2,2,8,97,1,2,2,2.0,3,4,1.0,1.0,C,Medium,Medium,Low,Medium,Medium,Near,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
9,82,2,2,8,72,2,2,2,2.0,3,3,3.0,1.0,D,Medium,Medium,Medium,Medium,Medium,Near,Postgraduate,Positive,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
10,78,2,3,8,74,2,1,1,2.0,2,4,3.0,1.0,D,Medium,High,Medium,Low,Medium,Near,Postgraduate,Neutral,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
17,68,2,2,8,70,2,2,2,2.0,3,4,1.0,1.0,D,Medium,Medium,Medium,Medium,Medium,Near,High School,Positive,No,Yes,No,Private,Female,True,False,False,True,True,False,True,False,True,False
14,60,2,1,10,65,1,0,3,2.0,3,3,2.0,1.0,D,Medium,Low,Low,High,Medium,Near,College,Positive,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
22,70,1,2,6,82,2,1,1,3.0,2,3,1.0,1.0,D,Low,Medium,Medium,Low,High,Near,High School,Neutral,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
15,80,2,2,9,91,1,3,1,2.0,3,2,2.0,2.0,D,Medium,Medium,Low,Low,Medium,Moderate,College,Positive,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
12,75,2,3,7,58,2,3,2,2.0,3,4,2.0,1.0,D,Medium,High,Medium,Medium,Medium,Near,College,Positive,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
29,78,2,2,5,99,3,0,3,2.0,1,1,1.0,2.0,D,Medium,Medium,High,High,Medium,Moderate,High School,Negative,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
19,99,2,3,6,84,2,1,2,3.0,2,3,1.0,1.0,C,Medium,High,Medium,Medium,High,Near,High School,Neutral,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
20,74,2,3,8,89,1,1,2,2.0,1,2,2.0,2.0,D,Medium,High,Low,Medium,Medium,Moderate,College,Negative,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
11,78,3,2,8,100,3,1,1,2.0,2,3,1.0,2.0,D,High,Medium,High,Low,Medium,Moderate,High School,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
17,65,1,3,5,75,2,2,1,2.0,3,3,1.0,1.0,D,Low,High,Medium,Low,Medium,Near,High School,Positive,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
21,62,3,1,6,54,3,0,3,3.0,3,3,3.0,3.0,D,High,Low,High,High,High,Far,Postgraduate,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
13,91,1,2,6,90,2,1,3,2.0,1,2,1.0,2.0,D,Low,Medium,Medium,High,Medium,Moderate,High School,Negative,No,Yes,Yes,Public,Female,True,False,False,True,False,True,False,True,True,False
22,83,3,3,6,94,2,0,3,2.0,2,2,2.0,2.0,C,High,High,Medium,High,Medium,Moderate,College,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
16,90,2,2,4,58,2,1,1,2.0,2,3,1.0,2.0,D,Medium,Medium,Medium,Low,Medium,Moderate,High School,Neutral,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
18,66,3,3,4,51,1,2,1,2.0,2,2,2.0,1.0,D,High,High,Low,Low,Medium,Near,College,Neutral,No,Yes,No,Private,Male,True,False,False,True,True,False,True,False,False,True
16,83,1,2,6,57,2,0,3,1.0,3,4,1.0,1.0,D,Low,Medium,Medium,High,Low,Near,High School,Positive,No,Yes,Yes,Public,Female,True,False,False,True,False,True,False,True,True,False
31,70,2,3,7,66,2,1,3,2.0,1,3,2.0,1.0,D,Medium,High,Medium,High,Medium,Near,College,Negative,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
20,69,2,2,8,96,2,2,2,3.0,3,3,1.0,1.0,D,Medium,Medium,Medium,Medium,High,Near,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
25,65,3,2,5,90,2,2,2,2.0,3,3,2.0,2.0,D,High,Medium,Medium,Medium,Medium,Moderate,College,Positive,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
13,72,1,2,6,93,1,1,1,2.0,1,3,1.0,1.0,D,Low,Medium,Low,Low,Medium,Near,High School,Negative,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
21,65,2,1,7,91,1,2,2,3.0,3,3,1.0,3.0,D,Medium,Low,Low,Medium,High,Far,High School,Positive,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
8,99,2,2,9,54,1,2,1,2.0,2,5,3.0,1.0,D,Medium,Medium,Low,Low,Medium,Near,Postgraduate,Neutral,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
12,72,1,2,8,84,2,1,1,2.0,3,5,1.0,1.0,D,Low,Medium,Medium,Low,Medium,Near,High School,Positive,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
21,65,1,2,6,98,1,1,2,3.0,1,4,1.0,1.0,D,Low,Medium,Low,Medium,High,Near,High School,Negative,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
24,68,3,2,8,56,1,3,3,3.0,2,1,2.0,1.0,D,High,Medium,Low,High,High,Near,College,Neutral,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
21,84,2,2,6,52,1,1,2,3.0,2,2,2.0,3.0,D,Medium,Medium,Low,Medium,High,Far,College,Neutral,Yes,Yes,Yes,Public,Female,False,True,False,True,False,True,False,True,True,False
19,63,1,3,7,94,2,1,2,2.0,3,3,1.0,2.0,D,Low,High,Medium,Medium,Medium,Moderate,High School,Positive,No,Yes,No,Private,Male,True,False,False,True,True,False,True,False,False,True
